Sentence-1,Sentence-2,Similarity
this regulation shall enter into force on the twentieth day following its publication in the official journal of the european union.,this directive shall enter into force on the twentieth day following that of its publication in the official journal of the european union.,0.8477624970048977
"this text is meant purely as a documentation tool and has no legal effect. the union's institutions do not assume any liability for its contents. the authentic versions of the relevant acts, including their preambles, are those published in the official journal of the european union and available in eur-lex. those official texts are directly accessible through the links embedded in this document","this text is meant purely as a documentation tool and has no legal effect. the union's institutions do not assume any liability for its contents. the authentic versions of the relevant acts, including their preambles, are those published in the official journal of the european union and available in eur-lex. those official texts are directly accessible through the links embedded in this document",1.0000000000000002
this regulation shall enter into force on the twentieth day following its publication in the official journal of the european union.,1. this regulation shall enter into force on the twentieth day following that of its publication in the official journal of the european union.,1.0000000000000002
this regulation shall be binding in its entirety and directly applicable in all member states.,this regulation shall be binding in its entirety and directly applicable in all member states.,1.0000000000000002
this regulation shall enter into force on the twentieth day following its publication in the official journal of the european union.,this regulation shall enter into force on the day following that of its publication in the official journal of the european union.,0.9207401897413287
this regulation shall be binding in its entirety and directly applicable in all member states.,it shall be binding in its entirety and directly applicable in all member states.,0.8831282039194523
"member states shall lay down the rules on penalties applicable to infringements of the provisions of this regulation and shall take all measures necessary to ensure that they are implemented. the penalties provided for must be effective, proportionate and dissuasive. the member states shall notify those provisions to the commission without delay and shall notify it without delay of any subsequent amendment affecting them.","member states shall lay down the rules on measures and penalties applicable to infringements of articles 5, 6 and 7. the measures and penalties provided for shall be effective, proportionate and dissuasive.",0.6070737542036838
"- a copy of regulation (ec) no 66/2010 of the european parliament and of the council of 25 november 2009 on the eu ecolabel, in (the relevant community language(s)),","(56) regulation (ec) no 66/2010 of the european parliament and the council of 25 november 2009 on the eu ecolabel (oj l 27, 30.1.2010, p. 1).",0.6089364572857247
this directive shall enter into force on the twentieth day following that of its publication in the official journal of the european union.,1. this regulation shall enter into force on the twentieth day following that of its publication in the official journal of the european union.,0.8477624970048977
"having regard to the treaty on the functioning of the european union, and in particular article 50(1) thereof,","having regard to the treaty on the functioning of the european union, and in particular article 114 thereof,",0.8200207392821179
this directive shall enter into force on the twentieth day following that of its publication in the official journal of the european union.,this regulation shall enter into force on the day following that of its publication in the official journal of the european union.,0.773675369346877
"since the objective of this directive, namely to increase the relevance, consistency and comparability of information disclosed by certain large undertakings and groups across the union, cannot be sufficiently achieved by the member states but can rather, by reason of its effect, be better achieved at union level, the union may adopt measures, in accordance with the principle of subsidiarity as set out in article 5 of the treaty on european union. in accordance with the principle of proportionality as set out in that article, this directive does not go beyond what is necessary in order to achieve that objective.","since the objectives of this regulation cannot be sufficiently achieved by the member states, but can rather, by reason of the need to introduce at union level uniform criteria for environmentally sustainable economic activities, be better achieved at union level, the union may adopt measures, in accordance with the principle of subsidiarity as set out in article 5 of the treaty on european union. in accordance with the principle of proportionality as set out in that article, this regulation does not go beyond what is necessary in order to achieve those objectives,",0.6018886100794427
'3. this article shall not apply to the non-financial statement referred to in article 19a(1) and the consolidated non-financial statement referred to in article 29a(1) or to the separate reports referred to in articles 19a(4) and 29a(4).'.,"3. if an undertaking publishes non-financial information pursuant to article 19a or article 29a of directive 2013/34/eu in a separate report in accordance with article 19a(4) or article 29a(4) of that directive, the information referred to in paragraphs 1 and 2 of this article shall be published in that separate report.",0.5048453882376719
"(3) directive 2013/34/eu of the european parliament and of the council of 26 june 2013 on the annual financial statements, consolidated financial statements and related reports of certain types of undertakings, amending directive 2006/43/ec of the european parliament and of the council and repealing council directives 78/660/eec and 83/349/eec (oj l 182, 29.6.2013, p. 19).","(68) directive 2013/34/eu of the european parliament and of the council of 26 june 2013 on the annual financial statements, consolidated financial statements and related reports of certain types of undertakings, amending directive 2006/43/ec of the european parliament and of the council and repealing council directives 78/660/eec and 83/349/eec (oj l 182, 29.6.2013, p. 19).",0.9855768662192965
1. this regulation shall enter into force on the twentieth day following that of its publication in the official journal of the european union.,this regulation shall enter into force on the day following that of its publication in the official journal of the european union.,0.9207401897413287
"(3) regulation (eu) 2016/1011 of the european parliament and of the council of 8 june 2016 on indices used as benchmarks in financial instruments and financial contracts or to measure the performance of investment funds and amending directives 2008/48/ec and 2014/17/eu and regulation (eu) no 596/2014 (oj l 171, 29.6.2016, p. 1).","(5) regulation (eu) 2016/1011 of the european parliament and of the council of 8 june 2016 on indices used as benchmarks in financial instruments and financial contracts or to measure the performance of investment funds and amending directives 2008/48/ec and 2014/17/eu and regulation (eu) no 596/2014 (oj l 171, 29.6.2016, p. 1).",1.0000000000000002
regulation (eu) 2020/852 of the european parliament and of the council of 18 june 2020,"(*1) regulation (eu) 2020/852 of the european parliament and of the council of 18 june 2020 on the establishment of a framework to facilitate sustainable investment, and amending regulation (eu) 2019/2088 (oj l 198, 22.6.2020, p. 13).';""",0.6758532175808389
'pan‐european personal pension product' or 'pepp' means a product as referred to in point (2) of article 2 of regulation (eu) 2019/1238;,"(67) regulation (eu) 2019/1238 of the european parliament and of the council of 20 june 2019 on a pan-european personal pension product (pepp) (oj l 198, 25.7.2019, p. 1).",0.5047792559485929
"1. the european supervisory authorities established by regulations (eu) no 1093/2010, (eu) no 1094/2010 and (eu) no 1095/2010 of the european parliament and of the council (collectively, the 'esas') shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information in relation to the principle of 'do no significant harm' referred to in point (17) of article 2 of this regulation consistent with the content, methodologies, and presentation in respect of the sustainability indicators in relation to the adverse impacts referred to in paragraphs 6 and 7 of article 4 of this regulation.","in order to ensure consistency between this regulation and regulation (eu) 2019/2088, this regulation should amend regulation (eu) 2019/2088 to mandate the european supervisory authorities established by regulations (eu) no 1093/2010 (52), (eu) no 1094/2010 (53) and (eu) no 1095/2010 (54) of the european parliament and of the council (collectively, the 'esas') to jointly develop regulatory technical standards to further specify the details of the content and presentation of the information in relation to the principle of 'do no significant harm'. those regulatory technical standards should be consistent with the content, methodologies, and presentation of the sustainability indicators in relation to adverse impacts as referred to in regulation (eu) 2019/2088. they should also be consistent with the principles enshrined in the european pillar of social rights, the oecd guidelines for multinational enterprises, the un guiding principles on business and human rights, including the ilo declaration on fundamental principles and rights at work, the eight fundamental conventions of the ilo and the international bill of human rights.",0.541318922875738
"1. the european supervisory authorities established by regulations (eu) no 1093/2010, (eu) no 1094/2010 and (eu) no 1095/2010 of the european parliament and of the council (collectively, the 'esas') shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information in relation to the principle of 'do no significant harm' referred to in point (17) of article 2 of this regulation consistent with the content, methodologies, and presentation in respect of the sustainability indicators in relation to the adverse impacts referred to in paragraphs 6 and 7 of article 4 of this regulation.","1. the european supervisory authorities established by regulations (eu) no 1093/2010, (eu) no 1094/2010 and (eu) no 1095/2010 of the european parliament and of the council (collectively, the 'esas') shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information in relation to the principle of 'do no significant harm' referred to in point (17) of article 2 of this regulation consistent with the content, methodologies, and presentation in respect of the sustainability indicators in relation to the adverse impacts referred to in paragraphs 6 and 7 of article 4 of this regulation.",1.0
2. the esas shall submit the draft regulatory technical standards referred to in paragraph 1 to the commission by 30 december 2020.,2. the esas shall submit the draft regulatory technical standards referred to in paragraph 1 to the commission by 30 december 2020.,1.0000000000000004
2. the esas shall submit the draft regulatory technical standards referred to in paragraph 1 to the commission by 30 december 2020.,the esas shall submit the draft regulatory technical standards referred to in the first subparagraph to the commission:,0.6608048914803659
"3. power is delegated to the commission to supplement this regulation by adopting the regulatory technical standards referred to in paragraph 1 of this article in accordance with articles 10 to 14 of regulations (eu) no 1093/2010, (eu) no 1094/2010 and (eu) no 1095/2010.","3. power is delegated to the commission to supplement this regulation by adopting the regulatory technical standards referred to in paragraph 1 of this article in accordance with articles 10 to 14 of regulations (eu) no 1093/2010, (eu) no 1094/2010 and (eu) no 1095/2010.';",1.0
"3. power is delegated to the commission to supplement this regulation by adopting the regulatory technical standards referred to in paragraph 1 of this article in accordance with articles 10 to 14 of regulations (eu) no 1093/2010, (eu) no 1094/2010 and (eu) no 1095/2010.","power is delegated to the commission to supplement this regulation by adopting the regulatory technical standards referred to in the first subparagraph of this paragraph in accordance with articles 10 to 14 of regulations (eu) no 1093/2010, (eu) no 1094/2010 and (eu) no 1095/2010.';",0.9493184006363802
"6. by 30 december 2020, the esas shall develop, through the joint committee, draft regulatory technical standards in accordance with articles 10 to 14 of regulations (eu) no 1093/2010, (eu) no 1094/2010 and (eu) no 1095/2010 on the content, methodologies and presentation of information referred to in paragraphs 1 to 5 of this article in respect of the sustainability indicators in relation to adverse impacts on the climate and other environment‐related adverse impacts.","1. the european supervisory authorities established by regulations (eu) no 1093/2010, (eu) no 1094/2010 and (eu) no 1095/2010 of the european parliament and of the council (collectively, the 'esas') shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information in relation to the principle of 'do no significant harm' referred to in point (17) of article 2 of this regulation consistent with the content, methodologies, and presentation in respect of the sustainability indicators in relation to the adverse impacts referred to in paragraphs 6 and 7 of article 4 of this regulation.",0.6032762931929749
"power is delegated to the commission to supplement this regulation by adopting the regulatory technical standards referred to in the first subparagraph in accordance with articles 10 to 14 of regulations (eu) no 1093/2010, (eu) no 1094/2010 and (eu) no 1095/2010.","3. power is delegated to the commission to supplement this regulation by adopting the regulatory technical standards referred to in paragraph 1 of this article in accordance with articles 10 to 14 of regulations (eu) no 1093/2010, (eu) no 1094/2010 and (eu) no 1095/2010.';",0.9242505279132649
"power is delegated to the commission to supplement this regulation by adopting the regulatory technical standards referred to in the first subparagraph in accordance with articles 10 to 14 of regulations (eu) no 1093/2010, (eu) no 1094/2010 and (eu) no 1095/2010.","power is delegated to the commission to supplement this regulation by adopting the regulatory technical standards referred to in the first subparagraph of this paragraph in accordance with articles 10 to 14 of regulations (eu) no 1093/2010, (eu) no 1094/2010 and (eu) no 1095/2010.';",0.9743297186457881
"7. by 30 december 2021, the esas shall develop, through the joint committee, draft regulatory technical standards in accordance with articles 10 to 14 of regulations (eu) no 1093/2010, (eu) no 1094/2010 and (eu) no 1095/2010 on the content, methodologies and presentation of information referred to in paragraphs 1 to 5 of this article in respect of sustainability indicators in relation to adverse impacts in the field of social and employee matters, respect for human rights, anti‐corruption and anti‐bribery matters.","1. the european supervisory authorities established by regulations (eu) no 1093/2010, (eu) no 1094/2010 and (eu) no 1095/2010 of the european parliament and of the council (collectively, the 'esas') shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information in relation to the principle of 'do no significant harm' referred to in point (17) of article 2 of this regulation consistent with the content, methodologies, and presentation in respect of the sustainability indicators in relation to the adverse impacts referred to in paragraphs 6 and 7 of article 4 of this regulation.",0.5193698150708265
"2a. where financial market participants make available a financial product as referred to in article 6 of regulation (eu) 2020/852 of the european parliament and of the council (2), they shall include in the information to be disclosed pursuant to article 6(1) and (3) of this regulation the information required under article 6 of regulation (eu) 2020/852.","'2a. where financial market participants make available a financial product as referred to in article 6 of regulation (eu) 2020/852 of the european parliament and of the council (*1), they shall include in the information to be disclosed pursuant to article 6(1) and (3) of this regulation the information required under article 6 of regulation (eu) 2020/852.",1.0
"2a. where financial market participants make available a financial product as referred to in article 6 of regulation (eu) 2020/852 of the european parliament and of the council (2), they shall include in the information to be disclosed pursuant to article 6(1) and (3) of this regulation the information required under article 6 of regulation (eu) 2020/852.",'4a. financial market participants shall include in the information to be disclosed pursuant to article 6(1) and (3) of this regulation the information required under article 5 of regulation (eu) 2020/852.';,0.7955084133391431
"2a. where financial market participants make available a financial product as referred to in article 6 of regulation (eu) 2020/852 of the european parliament and of the council (2), they shall include in the information to be disclosed pursuant to article 6(1) and (3) of this regulation the information required under article 6 of regulation (eu) 2020/852.","for a financial product subject to article 5 of regulation (eu) 2020/852, the information required under that article;",0.6931447006015417
"2a. where financial market participants make available a financial product as referred to in article 6 of regulation (eu) 2020/852 of the european parliament and of the council (2), they shall include in the information to be disclosed pursuant to article 6(1) and (3) of this regulation the information required under article 6 of regulation (eu) 2020/852.","for a financial product subject to article 6 of regulation (eu) 2020/852, the information required under that article.';",0.6931447006015417
"3. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 and 2 of this article.","'3. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 and 2 of this article.';",1.0
"3. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 and 2 of this article.","'4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 2a of this article.",0.7168117414430621
"3. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 and 2 of this article.","'5. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 to 4 of this article.';",1.0
"3. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 and 2 of this article.","'6. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 4a of this article.",0.7168117414430621
"3. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 and 2 of this article.","'4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in points (a) and (b) of paragraph 1.';",0.6701665996645958
"3. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 and 2 of this article.","'5. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in points (c) and (d) of paragraph 1.",0.6701665996645958
"when developing the draft regulatory technical standards referred to in the first subparagraph, the esas shall take into account the various types of financial products, their characteristics and the differences between them, as well as the objective that disclosures are to be accurate, fair, clear, not misleading, simple and concise.","when developing the draft regulatory technical standards referred to in the first subparagraph of this paragraph, the esas shall take into account the various types of financial products, their characteristics and the differences between them, as well as the objective that disclosures are to be accurate, fair, clear, not misleading, simple and concise and, where necessary to achieve that objective, shall develop draft amendments to the regulatory technical standards referred to in paragraph 3 of this article. the draft regulatory technical standards shall take into account the respective dates of application set out in points (a) and (b) of article 27(2) of regulation (eu) 2020/852 in respect of the environmental objectives set out in article 9 of that regulation.",0.6291382552530098
"when developing the draft regulatory technical standards referred to in the first subparagraph, the esas shall take into account the various types of financial products, their characteristics and the differences between them, as well as the objective that disclosures are to be accurate, fair, clear, not misleading, simple and concise.","when developing the draft regulatory technical standards referred to in the first subparagraph of this paragraph, the esas shall take into account the various types of financial products, their objectives as referred to in paragraph 4a of this article and the differences between them as well as the objective that disclosures are to be accurate, fair, clear, not misleading, simple and concise and, where necessary to achieve that objective, shall develop draft amendments to the regulatory technical standards referred to in paragraph 5 of this article. the draft regulatory technical standards shall take into account the respective dates of application set out in points (a) and (b) of article 27(2) of regulation (eu) 2020/852 in respect of the environmental objectives set out in article 9 of that regulation.",0.5522696506407514
the esas shall submit the draft regulatory technical standards referred to in the first subparagraph to the commission by 30 december 2020.,2. the esas shall submit the draft regulatory technical standards referred to in paragraph 1 to the commission by 30 december 2020.,0.8586557982260815
the esas shall submit the draft regulatory technical standards referred to in the first subparagraph to the commission by 30 december 2020.,the esas shall submit the draft regulatory technical standards referred to in the first subparagraph to the commission:,0.7924040597102251
"4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 2a of this article.","'3. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 and 2 of this article.';",0.7168117414430621
"4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 2a of this article.","'4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 2a of this article.",1.0
"4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 2a of this article.","'5. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 to 4 of this article.';",0.7168117414430621
"4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 2a of this article.","'6. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 4a of this article.",0.8958999951937023
"4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 2a of this article.","'4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in points (a) and (b) of paragraph 1.';",0.8448951934138225
"4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 2a of this article.","'5. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in points (c) and (d) of paragraph 1.",0.8448951934138225
"when developing the draft regulatory technical standards referred to in the first subparagraph of this paragraph, the esas shall take into account the various types of financial products, their characteristics and the differences between them, as well as the objective that disclosures are to be accurate, fair, clear, not misleading, simple and concise and, where necessary to achieve that objective, shall develop draft amendments to the regulatory technical standards referred to in paragraph 3 of this article. the draft regulatory technical standards shall take into account the respective dates of application set out in points (a) and (b) of article 27(2) of regulation (eu) 2020/852 in respect of the environmental objectives set out in article 9 of that regulation.","when developing the draft regulatory technical standards referred to in the first subparagraph of this paragraph, the esas shall take into account the various types of financial products, their characteristics and the differences between them, as well as the objective that disclosures are to be accurate, fair, clear, not misleading, simple and concise and, where necessary to achieve that objective, shall develop draft amendments to the regulatory technical standards referred to in paragraph 3 of this article. the draft regulatory technical standards shall take into account the respective dates of application set out in points (a) and (b) of article 27(2) of regulation (eu) 2020/852 in respect of the environmental objectives set out in article 9 of that regulation.",1.0000000000000004
